Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Golden Maid Chinese Restaurant,Colombo 9,"352,BASELINE ROAD,COLOMBO 9",Restaurants,,"Golden Maid Chinese Restaurant is a Restaurants located in Colombo 9. Address: 352,BASELINE ROAD,COLOMBO 9."
Makrin Restaurant And Bakery,Boralesgamuwa,"NO. 798, HORANA ROAD, BORALESGAMUWA",Restaurants,,"Makrin Restaurant And Bakery is a Restaurants located in Boralesgamuwa. Address: NO. 798, HORANA ROAD, BORALESGAMUWA."
Pubs N Places -The Shore By O,Mount Lavinia,"43/14,OFF COLLEGE AVENUE,MOUNT LAVINIA",Restaurants,,"Pubs N Places -The Shore By O is a Restaurants located in Mount Lavinia. Address: 43/14,OFF COLLEGE AVENUE,MOUNT LAVINIA."
Heshan Restaurant,Ragama,"178/1 MAHABAGE ROAD,RAGAMA",Restaurants,,"Heshan Restaurant is a Restaurants located in Ragama. Address: 178/1 MAHABAGE ROAD,RAGAMA."
Food Life Concepts,Kandy.,"27A,ANAGARIKA DHARMAPALA MW,KANDY.",Restaurants,,"Food Life Concepts is a Restaurants located in Kandy.. Address: 27A,ANAGARIKA DHARMAPALA MW,KANDY.."
New May Flower Restaurant,Nugegoda,"NO. 5/1/1, OLD KESBAWA ROAD, NUGEGODA",Restaurants,,"New May Flower Restaurant is a Restaurants located in Nugegoda. Address: NO. 5/1/1, OLD KESBAWA ROAD, NUGEGODA."
Methra Restaurant,Nugegoda,"NO. 179, STANLEY THILAKARATHNA MAWATHA, NUGEGODA",Restaurants,,"Methra Restaurant is a Restaurants located in Nugegoda. Address: NO. 179, STANLEY THILAKARATHNA MAWATHA, NUGEGODA."
Flower Song Restaurant,Kandy,"137,KOTUGODELLA VIDIYA,KANDY",Restaurants,,"Flower Song Restaurant is a Restaurants located in Kandy. Address: 137,KOTUGODELLA VIDIYA,KANDY."
Malwarsha Tourist Restaurant,Dehiowita,"NO. 245, MALWARUSHAWA, DEHIOWITA",Restaurants,,"Malwarsha Tourist Restaurant is a Restaurants located in Dehiowita. Address: NO. 245, MALWARUSHAWA, DEHIOWITA."
Free Town Restaurant,A-Pura,"NO.05,NEW BUS STAND,A-PURA",Restaurants,,"Free Town Restaurant is a Restaurants located in A-Pura. Address: NO.05,NEW BUS STAND,A-PURA."
Haus Athula Restaurant,Bentota,"149 GALLE ROAD,BENTOTA",Restaurants,,"Haus Athula Restaurant is a Restaurants located in Bentota. Address: 149 GALLE ROAD,BENTOTA."
Haritha Restaurant,Hanwella.,"86/3A,HIGH LEVAL ROAD,THUNNANA,HANWELLA.",Restaurants,,"Haritha Restaurant is a Restaurants located in Hanwella.. Address: 86/3A,HIGH LEVAL ROAD,THUNNANA,HANWELLA.."
Ju Chun Yan Chinese Restaurant,Colombo-03,"NO 450 B,R.A DE MEL MAWATHA,KOLLUPITIYA,COLOMBO-03",Restaurants,,"Ju Chun Yan Chinese Restaurant is a Restaurants located in Colombo-03. Address: NO 450 B,R.A DE MEL MAWATHA,KOLLUPITIYA,COLOMBO-03."
Hangar Bar,Bia Katunayake,"NO.62D , AT DEPARTURE/TRANSIT AREA,BIA KATUNAYAKE",Restaurants,,"Hangar Bar is a Restaurants located in Bia Katunayake. Address: NO.62D , AT DEPARTURE/TRANSIT AREA,BIA KATUNAYAKE."
Fingara Town & Country Club,Boralesgamuwa,"NO. 50/21, OLD KESBEWA ROAD, RATHTHANAPITIYA, BORALESGAMUWA",Restaurants,,"Fingara Town & Country Club is a Restaurants located in Boralesgamuwa. Address: NO. 50/21, OLD KESBEWA ROAD, RATHTHANAPITIYA, BORALESGAMUWA."
Jolly Restaurant,Jaffna.,"NO.27,PALALY ROAD,THIRUNELVELLY,JAFFNA.",Restaurants,,"Jolly Restaurant is a Restaurants located in Jaffna.. Address: NO.27,PALALY ROAD,THIRUNELVELLY,JAFFNA.."
Han Gook Gwan- Korean Restaurant,Colombo 5,"NO.25,HAVELOCK ROAD,COLOMBO 5",Restaurants,,"Han Gook Gwan- Korean Restaurant is a Restaurants located in Colombo 5. Address: NO.25,HAVELOCK ROAD,COLOMBO 5."
Mlesna Tea Castle,Talawakele,"NUWARA ELIYA ROAD, PATHANA, TALAWAKELE",Restaurants,,"Mlesna Tea Castle is a Restaurants located in Talawakele. Address: NUWARA ELIYA ROAD, PATHANA, TALAWAKELE."
Halcyon Beach,Negombo,"NO.11,PORUTHOTA ROAD,NEGOMBO",Restaurants,,"Halcyon Beach is a Restaurants located in Negombo. Address: NO.11,PORUTHOTA ROAD,NEGOMBO."
Janakala Avanhala,Kurunegala,"JANAKALA AVANHALA,KANDY ROAD,KURUNEGALA",Restaurants,,"Janakala Avanhala is a Restaurants located in Kurunegala. Address: JANAKALA AVANHALA,KANDY ROAD,KURUNEGALA."
H.S.Restaurant,Kandana,"NO.103,COLOMBO ROAD,KANDANA",Restaurants,,"H.S.Restaurant is a Restaurants located in Kandana. Address: NO.103,COLOMBO ROAD,KANDANA."
J.N.A Restaurant And Bar,Kelaniya,"NO.26,KANDY ROAD,KIRIBATHGODA,KELANIYA",Restaurants,,"J.N.A Restaurant And Bar is a Restaurants located in Kelaniya. Address: NO.26,KANDY ROAD,KIRIBATHGODA,KELANIYA."
J.L.H.Beach Restaurant,Hikkaduwa,"382/1,GALLE ROAD,HIKKADUWA",Restaurants,,"J.L.H.Beach Restaurant is a Restaurants located in Hikkaduwa. Address: 382/1,GALLE ROAD,HIKKADUWA."
Moon River Chinese Sea Food Restaurant,Colombo 05,"NO. 140, THIMBIRIGASYAYA ROAD, COLOMBO 05",Restaurants,,"Moon River Chinese Sea Food Restaurant is a Restaurants located in Colombo 05. Address: NO. 140, THIMBIRIGASYAYA ROAD, COLOMBO 05."
Moshi Moshi International,Colombo 03,"NO. 594/2, GALLE ROAD, COLOMBO 03",Restaurants,,"Moshi Moshi International is a Restaurants located in Colombo 03. Address: NO. 594/2, GALLE ROAD, COLOMBO 03."
Mlesna Tea Fortress Restaurant,Kiribathkumbura,"NO. 445, COLOMBO ROAD, KIRIBATHKUMBURA",Restaurants,,"Mlesna Tea Fortress Restaurant is a Restaurants located in Kiribathkumbura. Address: NO. 445, COLOMBO ROAD, KIRIBATHKUMBURA."
Nanking Delights Chinese Restaurant,Newtown,"NO. 885/1A & NO. 885 1/1D, BUTHGAMUWA ROAD, GOTHATUWA, NEWTOWN",Restaurants,,"Nanking Delights Chinese Restaurant is a Restaurants located in Newtown. Address: NO. 885/1A & NO. 885 1/1D, BUTHGAMUWA ROAD, GOTHATUWA, NEWTOWN."
Nebula Gardens,Aluthgama,"NO. 88/1, WELIPENNA ROAD, ALUTHGAMA",Restaurants,,"Nebula Gardens is a Restaurants located in Aluthgama. Address: NO. 88/1, WELIPENNA ROAD, ALUTHGAMA."
Nethmina Restaurant,Akuressa,"NO. 31/1, DENIYAYA ROAD, AKURESSA",Restaurants,,"Nethmina Restaurant is a Restaurants located in Akuressa. Address: NO. 31/1, DENIYAYA ROAD, AKURESSA."
Pubs And Places - Panadura,Panadura,"NO. 549, GALLE ROAD, PANADURA",Restaurants,,"Pubs And Places - Panadura is a Restaurants located in Panadura. Address: NO. 549, GALLE ROAD, PANADURA."
New City Restaurant,Kohuwala,"NO. 121, D.S. DE.S. JAYASINGHE MAWATHA, KOHUWALA",Restaurants,,"New City Restaurant is a Restaurants located in Kohuwala. Address: NO. 121, D.S. DE.S. JAYASINGHE MAWATHA, KOHUWALA."
New Sigiri Restaurant,Sigiriya,"EHALAGALA, SIGIRIYA",Restaurants,,"New Sigiri Restaurant is a Restaurants located in Sigiriya. Address: EHALAGALA, SIGIRIYA."
New Sunshine Restaurant,Kelaniya,"NO. 437, KANDY ROAD, KELANIYA",Restaurants,,"New Sunshine Restaurant is a Restaurants located in Kelaniya. Address: NO. 437, KANDY ROAD, KELANIYA."
New Thisara Chinese Restaurant,Pannipitiya,"NO. 22, OLD ROAD, PANNIPITIYA",Restaurants,,"New Thisara Chinese Restaurant is a Restaurants located in Pannipitiya. Address: NO. 22, OLD ROAD, PANNIPITIYA."
Nicas Restaurant & Bar,Gampaha,"NO. 361, YAKKALA ROAD, BANDARAWATTA, GAMPAHA",Restaurants,,"Nicas Restaurant & Bar is a Restaurants located in Gampaha. Address: NO. 361, YAKKALA ROAD, BANDARAWATTA, GAMPAHA."
Kudos Restaurant & Bar,Colombo-5,"206,HAVELOCK ROAD,COLOMBO-5",Restaurants,,"Kudos Restaurant & Bar is a Restaurants located in Colombo-5. Address: 206,HAVELOCK ROAD,COLOMBO-5."
Nilaveli Village Restaurant,Nilaveli,"WARD NO.3, GOPALAPURAM, NILAVELI",Restaurants,,"Nilaveli Village Restaurant is a Restaurants located in Nilaveli. Address: WARD NO.3, GOPALAPURAM, NILAVELI."
Nimansala Restaurant,Homagama,"NO. 784, HIGH LEVEL ROAD, PANAGODA, HOMAGAMA",Restaurants,,"Nimansala Restaurant is a Restaurants located in Homagama. Address: NO. 784, HIGH LEVEL ROAD, PANAGODA, HOMAGAMA."
Kouchi Japanese Resaurant,Battaramulla,"265,NEW KANDY RD,KOSSWATTA,BATTARAMULLA",Restaurants,,"Kouchi Japanese Resaurant is a Restaurants located in Battaramulla. Address: 265,NEW KANDY RD,KOSSWATTA,BATTARAMULLA."
Nipuna Restaurant,Kegalle,"NO. 57, MAIN STREET, KEGALLE",Restaurants,,"Nipuna Restaurant is a Restaurants located in Kegalle. Address: NO. 57, MAIN STREET, KEGALLE."
Nirmala Restaurant,Wadduwa.,"SRI JAYAWARDENAPURA ROAD, DELDUWA, WADDUWA.",Restaurants,,"Nirmala Restaurant is a Restaurants located in Wadduwa.. Address: SRI JAYAWARDENAPURA ROAD, DELDUWA, WADDUWA.."
Pubs And Places - Ambalangoda,Ambalangoda,"NO. 281, MAIN STREET, AMBALANGODA",Restaurants,,"Pubs And Places - Ambalangoda is a Restaurants located in Ambalangoda. Address: NO. 281, MAIN STREET, AMBALANGODA."
Kinjou Chinese Restaurant,Colombo-05,"33,AMARASEKARA MW,COLOMBO-05",Restaurants,,"Kinjou Chinese Restaurant is a Restaurants located in Colombo-05. Address: 33,AMARASEKARA MW,COLOMBO-05."
Kings Court Tourist Resort,Pothuhera,"THURUVIYANA,PARABAVILA,POTHUHERA",Restaurants,,"Kings Court Tourist Resort is a Restaurants located in Pothuhera. Address: THURUVIYANA,PARABAVILA,POTHUHERA."
King Prawn Restaurant,Colombo14,"630.PRINCE OF WALES AVENUE,COLOMBO14",Restaurants,,"King Prawn Restaurant is a Restaurants located in Colombo14. Address: 630.PRINCE OF WALES AVENUE,COLOMBO14."
Rafflers Restaurant,Colombo 03,"NO.35,BAGATALE ROAD,COLOMBO 03",Restaurants,,"Rafflers Restaurant is a Restaurants located in Colombo 03. Address: NO.35,BAGATALE ROAD,COLOMBO 03."
Paradise Road The Gallery Cafe,Colombo 03,"NO,02,ALFRED HOUSE ROAD,COLOMBO 03",Restaurants,,"Paradise Road The Gallery Cafe is a Restaurants located in Colombo 03. Address: NO,02,ALFRED HOUSE ROAD,COLOMBO 03."
New Paradise Tourist Restaurant,Mawanella,"UTHUWANKANDA, MAWANELLA",Restaurants,,"New Paradise Tourist Restaurant is a Restaurants located in Mawanella. Address: UTHUWANKANDA, MAWANELLA."
Sinhara & Company,Ratmalana,"NO. 340, GALLE ROAD, RATMALANA",Restaurants,,"Sinhara & Company is a Restaurants located in Ratmalana. Address: NO. 340, GALLE ROAD, RATMALANA."
The Cinnamon Holiday Resort,Urugasmanhandiya.,"ELPITIYA ROAD,URUGASMANHANDIYA.",Restaurants,,"The Cinnamon Holiday Resort is a Restaurants located in Urugasmanhandiya.. Address: ELPITIYA ROAD,URUGASMANHANDIYA.."
Nobel Restaurant,Kochchikade,"NO. 100/12, PORUTOTA ROAD, PALANGATURAI, KOCHCHIKADE",Restaurants,,"Nobel Restaurant is a Restaurants located in Kochchikade. Address: NO. 100/12, PORUTOTA ROAD, PALANGATURAI, KOCHCHIKADE."
Rangoon Restaurant,Aluthgama,"NO. 298, GALLE ROAD, ALUTHGAMA",Restaurants,,"Rangoon Restaurant is a Restaurants located in Aluthgama. Address: NO. 298, GALLE ROAD, ALUTHGAMA."
Ravi Restaurant,Jaffna,"NO.39,ST.ANNE'S ROAD,CHUNDIKULI,JAFFNA",Restaurants,,"Ravi Restaurant is a Restaurants located in Jaffna. Address: NO.39,ST.ANNE'S ROAD,CHUNDIKULI,JAFFNA."
Rampart Restaurant,Galle,"NO. 31, RAMPART STREET, FORT, GALLE",Restaurants,,"Rampart Restaurant is a Restaurants located in Galle. Address: NO. 31, RAMPART STREET, FORT, GALLE."
Rathnagiri Rasahala,Kurunegala,"NO80,PUTTALAM ROAD,KURUNEGALA",Restaurants,,"Rathnagiri Rasahala is a Restaurants located in Kurunegala. Address: NO80,PUTTALAM ROAD,KURUNEGALA."
Rock View Restaurant,Kadugannawa,"PAHALA KADUGANNAWA,KADUGANNAWA",Restaurants,,"Rock View Restaurant is a Restaurants located in Kadugannawa. Address: PAHALA KADUGANNAWA,KADUGANNAWA."
Riverside Park Restaurant,Hanwella,"REST HOUSE ROAD,HANWELLA",Restaurants,,"Riverside Park Restaurant is a Restaurants located in Hanwella. Address: REST HOUSE ROAD,HANWELLA."
Ranmuthu Chinese Restaurant,Wellampitiya,"NO. 288/5, AVISAWELLA ROAD, MEGOA, KOLONNAWA, WELLAMPITIYA",Restaurants,,"Ranmuthu Chinese Restaurant is a Restaurants located in Wellampitiya. Address: NO. 288/5, AVISAWELLA ROAD, MEGOA, KOLONNAWA, WELLAMPITIYA."
Hasara Restaurant,Galle,"NO270,DADALLA,GALLE",Restaurants,,"Hasara Restaurant is a Restaurants located in Galle. Address: NO270,DADALLA,GALLE."
Planet Cuzene,Mount Lavinia,"NO. 143 3/2, MOUNT CITY, GALLE ROAD, MOUNT LAVINIA",Restaurants,,"Planet Cuzene is a Restaurants located in Mount Lavinia. Address: NO. 143 3/2, MOUNT CITY, GALLE ROAD, MOUNT LAVINIA."
The Public House Hotel & Restaurant,Warakapola,"NO. 255, KANDY ROAD, WARAKAPOLA",Restaurants,,"The Public House Hotel & Restaurant is a Restaurants located in Warakapola. Address: NO. 255, KANDY ROAD, WARAKAPOLA."
The Pan Restaurant,Wattala,"NO.107,OLD NEGOMBO ROAD,WATTALA",Restaurants,,"The Pan Restaurant is a Restaurants located in Wattala. Address: NO.107,OLD NEGOMBO ROAD,WATTALA."
Seven Eleven Restaurant & Bar,Thalawathugoda,"1ST FLOOR,CAPITAL MALL,531MADIWELA RD,THALAWATHUGODA",Restaurants,,"Seven Eleven Restaurant & Bar is a Restaurants located in Thalawathugoda. Address: 1ST FLOOR,CAPITAL MALL,531MADIWELA RD,THALAWATHUGODA."
The Mango Tree,Colombo-03,"NO.82,DHARMAPALA MAWATHA,COLOMBO-03",Restaurants,,"The Mango Tree is a Restaurants located in Colombo-03. Address: NO.82,DHARMAPALA MAWATHA,COLOMBO-03."
Bayleaf Restaurant,Colombo 07,"NO.79, GEGARYS ROAD, COLOMBO 07",Restaurants,,"Bayleaf Restaurant is a Restaurants located in Colombo 07. Address: NO.79, GEGARYS ROAD, COLOMBO 07."
Priyantha Chinese Restaurant,Akuressa,"NO. 05, NEW BAY ROAD, AKURESSA",Restaurants,,"Priyantha Chinese Restaurant is a Restaurants located in Akuressa. Address: NO. 05, NEW BAY ROAD, AKURESSA."
Priyangani Restaurant,Hatton,"NO. 16A, SIDE STREET, HATTON",Restaurants,,"Priyangani Restaurant is a Restaurants located in Hatton. Address: NO. 16A, SIDE STREET, HATTON."
Thanu Restaurant,Inuvil.,"KATHIOLLOI,INUVIL EAST,INUVIL.",Restaurants,,"Thanu Restaurant is a Restaurants located in Inuvil.. Address: KATHIOLLOI,INUVIL EAST,INUVIL.."
Prima Taste Managed By Upali,Rajagiriya.,"NO. 50, SRI JAYAWARDENAPURA MAWATHA, RAJAGIRIYA.",Restaurants,,"Prima Taste Managed By Upali is a Restaurants located in Rajagiriya.. Address: NO. 50, SRI JAYAWARDENAPURA MAWATHA, RAJAGIRIYA.."
Sadra Restaurant,Kadawatha,"NO.172/6,KANDY ROAD,KADAWATHA",Restaurants,,"Sadra Restaurant is a Restaurants located in Kadawatha. Address: NO.172/6,KANDY ROAD,KADAWATHA."
Savannah Restaurant,Wattala,"NO. 385/A/1/1, NEGOMBO ROAD, WATTALA",Restaurants,,"Savannah Restaurant is a Restaurants located in Wattala. Address: NO. 385/A/1/1, NEGOMBO ROAD, WATTALA."
Sakura Restaurant,Colombo 03,"NO. 14, RHEINLAND PLACE,COLOMBO 03",Restaurants,,"Sakura Restaurant is a Restaurants located in Colombo 03. Address: NO. 14, RHEINLAND PLACE,COLOMBO 03."
Sakura Restaurant,Agalawaththa,"NO. 01, OLD ROAD, AGALAWATHTHA",Restaurants,,"Sakura Restaurant is a Restaurants located in Agalawaththa. Address: NO. 01, OLD ROAD, AGALAWATHTHA."
Sakila Restaurant,Colombo 09.,"NO. 189, KOLONNAWA ROAD, DEMATAGODA, COLOMBO 09.",Restaurants,,"Sakila Restaurant is a Restaurants located in Colombo 09.. Address: NO. 189, KOLONNAWA ROAD, DEMATAGODA, COLOMBO 09.."
Salika Inn,Kegalle,"NO. 118, COLOMBO ROAD, KEGALLE",Restaurants,,"Salika Inn is a Restaurants located in Kegalle. Address: NO. 118, COLOMBO ROAD, KEGALLE."
Samanala Paradise Restaurant,Kelaniya,"NO. 293, KANDY ROAD, GALA JUNCTION, KELANIYA",Restaurants,,"Samanala Paradise Restaurant is a Restaurants located in Kelaniya. Address: NO. 293, KANDY ROAD, GALA JUNCTION, KELANIYA."
Samanala Restaurant (Kotte),Kotte,"NO. 327, MADIWELA, KOTTE",Restaurants,,"Samanala Restaurant (Kotte) is a Restaurants located in Kotte. Address: NO. 327, MADIWELA, KOTTE."
Samanala Restaurant (Kiribathgoda),Kiribathgoda,"NO. 12, KANDY ROAD, KIRIBATHGODA",Restaurants,,"Samanala Restaurant (Kiribathgoda) is a Restaurants located in Kiribathgoda. Address: NO. 12, KANDY ROAD, KIRIBATHGODA."
Samanmal Chinese Restaurant,Matara,"NO. 64, UDYANA ROAD, MATARA",Restaurants,,"Samanmal Chinese Restaurant is a Restaurants located in Matara. Address: NO. 64, UDYANA ROAD, MATARA."
Sea Fish Restaurant,Colombo 02,"NO. 15, SRI CHITTAMPALAM A GARDENER MAWATHA, COLOMBO 02",Restaurants,,"Sea Fish Restaurant is a Restaurants located in Colombo 02. Address: NO. 15, SRI CHITTAMPALAM A GARDENER MAWATHA, COLOMBO 02."
Sea Lion Restaurant,Kiribathgoda,"NO. 25, KANDY ROAD, KIRIBATHGODA",Restaurants,,"Sea Lion Restaurant is a Restaurants located in Kiribathgoda. Address: NO. 25, KANDY ROAD, KIRIBATHGODA."
Hollywood Colombo,Colombo 05,"NO. 70, HAVLOCK ROAD, COLOMBO 05",Restaurants,,"Hollywood Colombo is a Restaurants located in Colombo 05. Address: NO. 70, HAVLOCK ROAD, COLOMBO 05."
Broadway Restaurant,Dehiwala.,"NO. 03 1/1, STATION ROAD, DEHIWALA.",Restaurants,,"Broadway Restaurant is a Restaurants located in Dehiwala.. Address: NO. 03 1/1, STATION ROAD, DEHIWALA.."
Pubs And Places - Homagama,Homagama,"NO. 81 1/1, STATION ROAD, HOMAGAMA",Restaurants,,"Pubs And Places - Homagama is a Restaurants located in Homagama. Address: NO. 81 1/1, STATION ROAD, HOMAGAMA."
Shanghai Chinese Restaurant,Mount Lavinia,"NO. 90, GALLE ROAD, MOUNT LAVINIA",Restaurants,,"Shanghai Chinese Restaurant is a Restaurants located in Mount Lavinia. Address: NO. 90, GALLE ROAD, MOUNT LAVINIA."
Hotel 198,Kochchikade,"NO. 198, PORUTHOTA ROAD,PALANGATHURE, KOCHCHIKADE",Restaurants,,"Hotel 198 is a Restaurants located in Kochchikade. Address: NO. 198, PORUTHOTA ROAD,PALANGATHURE, KOCHCHIKADE."
Shan Restaurant,Thalathuoya,"MARASSANA ROAD, KANDAKULA, THALATHUOYA",Restaurants,,"Shan Restaurant is a Restaurants located in Thalathuoya. Address: MARASSANA ROAD, KANDAKULA, THALATHUOYA."
Senek Vin Restaurant,Ambalangoda,"NO. 13, GALLE ROAD, AMBALANGODA",Restaurants,,"Senek Vin Restaurant is a Restaurants located in Ambalangoda. Address: NO. 13, GALLE ROAD, AMBALANGODA."
Sanhinda Leisure Center,Nugegoda,"NO. 247/6, STANLEY THILAKARATHNA MAWATHA, NUGEGODA",Restaurants,,"Sanhinda Leisure Center is a Restaurants located in Nugegoda. Address: NO. 247/6, STANLEY THILAKARATHNA MAWATHA, NUGEGODA."
Sanjeewa Restaurant,Kirindiwela,"NO. 273B, MUDUNPITAKANDA, KIRINDIWELA",Restaurants,,"Sanjeewa Restaurant is a Restaurants located in Kirindiwela. Address: NO. 273B, MUDUNPITAKANDA, KIRINDIWELA."
Sanora Restaurant,Thalawatugoda,"NO. 668, PANNIPITIYA ROAD, THALAWATUGODA",Restaurants,,"Sanora Restaurant is a Restaurants located in Thalawatugoda. Address: NO. 668, PANNIPITIYA ROAD, THALAWATUGODA."
Sansuchi Cafe,Weliweriya,"NO. 189/1, NEW KANDY ROAD, WELIWERIYA",Restaurants,,"Sansuchi Cafe is a Restaurants located in Weliweriya. Address: NO. 189/1, NEW KANDY ROAD, WELIWERIYA."
Saphire Karoke Restaurant,Colombo 03,"NO. 20/3, ABDUL GAFFOR MAWATHA, COLOMBO 03",Restaurants,,"Saphire Karoke Restaurant is a Restaurants located in Colombo 03. Address: NO. 20/3, ABDUL GAFFOR MAWATHA, COLOMBO 03."
Sopranos,Maitland Crescent Colombo 07,"NO. 29, MAITLAND CRESCENT COLOMBO 07",Restaurants,,"Sopranos is a Restaurants located in Maitland Crescent Colombo 07. Address: NO. 29, MAITLAND CRESCENT COLOMBO 07."
Solis Tourist Restaurant,Rajagiriya,"NO. 533 A, NAWALA ROAD, RAJAGIRIYA",Restaurants,,"Solis Tourist Restaurant is a Restaurants located in Rajagiriya. Address: NO. 533 A, NAWALA ROAD, RAJAGIRIYA."
Sinthao Chinese Restaurant,Maharagama,"NO. 8/1/2/2, DEHIWALA ROAD, MAHARAGAMA",Restaurants,,"Sinthao Chinese Restaurant is a Restaurants located in Maharagama. Address: NO. 8/1/2/2, DEHIWALA ROAD, MAHARAGAMA."
Silver Spoon Restaurant,Battaramulla,"NO. 953, THALANGAMA SOUTH, BATTARAMULLA",Restaurants,,"Silver Spoon Restaurant is a Restaurants located in Battaramulla. Address: NO. 953, THALANGAMA SOUTH, BATTARAMULLA."
Shinshio Chinese Restaurant,Nugegoda,"NO. 159, DUTUGAMUNU STREET, KOHUWELA, NUGEGODA",Restaurants,,"Shinshio Chinese Restaurant is a Restaurants located in Nugegoda. Address: NO. 159, DUTUGAMUNU STREET, KOHUWELA, NUGEGODA."
Sherry Land Restaurant,Negombo,"NO. 74, PORUTOTA ROAD, ETTUKALA, NEGOMBO",Restaurants,,"Sherry Land Restaurant is a Restaurants located in Negombo. Address: NO. 74, PORUTOTA ROAD, ETTUKALA, NEGOMBO."
Xilation Chinese Restaurant,Colombo 05,"NO. 126, HAVELOCK ROAD, COLOMBO 05",Restaurants,,"Xilation Chinese Restaurant is a Restaurants located in Colombo 05. Address: NO. 126, HAVELOCK ROAD, COLOMBO 05."
Spoon & Pan Restaurant,Pattiya Junction-Kelaniya,"NO. 673/1, KANDY ROAD, PELIYAGODA, PATTIYA JUNCTION-KELANIYA",Restaurants,,"Spoon & Pan Restaurant is a Restaurants located in Pattiya Junction-Kelaniya. Address: NO. 673/1, KANDY ROAD, PELIYAGODA, PATTIYA JUNCTION-KELANIYA."
Sri Jaya Sada Nikethanaya,Welipennagahamula,"MEEGAHAPELASSA, WELIPENNAGAHAMULA",Restaurants,,"Sri Jaya Sada Nikethanaya is a Restaurants located in Welipennagahamula. Address: MEEGAHAPELASSA, WELIPENNAGAHAMULA."
Sumihiri Arunaloka Hotel & Restaurant,Elpitiya,"NO. 504 1/1, AMBALANGODA ROAD, KURUNDUGAHA HETHEKMA, ELPITIYA",Restaurants,,"Sumihiri Arunaloka Hotel & Restaurant is a Restaurants located in Elpitiya. Address: NO. 504 1/1, AMBALANGODA ROAD, KURUNDUGAHA HETHEKMA, ELPITIYA."
Pier 3 Floating Restaurant,Colombo 10,"NO. 38/F, D.R. WIJEWARDANA MAWATHA, COLOMBO 10",Restaurants,,"Pier 3 Floating Restaurant is a Restaurants located in Colombo 10. Address: NO. 38/F, D.R. WIJEWARDANA MAWATHA, COLOMBO 10."
Paradise Cafe & Restaurant,Thambuttegama,"NO. 68, ANURADHAPURA ROAD, THAMBUTTEGAMA",Restaurants,,"Paradise Cafe & Restaurant is a Restaurants located in Thambuttegama. Address: NO. 68, ANURADHAPURA ROAD, THAMBUTTEGAMA."
Royal Palace Restaurant,Ratnapura,"NO. 14, SENANAYAKA MAWATHA, RATNAPURA",Restaurants,,"Royal Palace Restaurant is a Restaurants located in Ratnapura. Address: NO. 14, SENANAYAKA MAWATHA, RATNAPURA."
Peninsula Holiday Restaurant,Jaffna,"NO. 281, KANDY ROAD, JAFFNA",Restaurants,,"Peninsula Holiday Restaurant is a Restaurants located in Jaffna. Address: NO. 281, KANDY ROAD, JAFFNA."
Panorama Restaurant (Kottawa),Kottawa,"NO. 138 1/1, HIGHLEVEL ROAD, KOTTAWA",Restaurants,,"Panorama Restaurant (Kottawa) is a Restaurants located in Kottawa. Address: NO. 138 1/1, HIGHLEVEL ROAD, KOTTAWA."
Siyana Awanhala,Hanwella,"NO. 133B, DISSAWATTA, HANWELLA",Restaurants,,"Siyana Awanhala is a Restaurants located in Hanwella. Address: NO. 133B, DISSAWATTA, HANWELLA."
Park Street Cafe,Colombo 02,"NO. 50/1, PARK STREET, COLOMBO 02",Restaurants,,"Park Street Cafe is a Restaurants located in Colombo 02. Address: NO. 50/1, PARK STREET, COLOMBO 02."
